date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-05-08,13.6,8.48,9.6,5.6,,,76,62.2,62.5,49,3.3,1.6,0.4,-2.6,28,16.58,16.5,5,39,1,102.34,102.2,102.14,101.95,100.23,100.09,100.05,99.86,24100,24100,24100,24100,,,,,8.4,0,4.6,2.6,0,0,0,0,,06:01:00,1746698460,6.02,20:28:00,1746750480,20.47,14.45,5,5,13,14,3,4,,,,,,8,4.8,4,0,,,,
2025-05-07,23.3,15.73,15.25,7.2,26,,87,67.4,67,47,12.7,9.5,8,3.3,34,20,21,8,46,35,101.93,101.51,101.6,101.26,99.84,99.43,99.51,99.19,24100,24100,24100,24100,,,,,2.8,0,10.2,8.2,5.2,0,0,0,,06:02:00,1746612120,6.03,20:27:00,1746664020,20.45,14.42,8,8,21,22,7,7,,,,,,7,3.7,4.5,2,,,,
2025-05-06,20.3,14.73,14.25,8.2,,,98,76.2,73.5,49,12.5,10.2,10.3,8.1,28,13.96,17,6,39,14,101.54,101.37,101.37,101.2,99.45,99.29,99.29,99.13,24100,16787.5,12250,400,,,,,3.8,0,9.2,7.2,4.2,1.8,1.8,0,,06:03:00,1746525780,6.05,20:26:00,1746577560,20.43,14.38,7,7,18,19,12,12,,,,,,8,6.4,6.5,5,,,,
2025-05-05,18.1,14.88,15.25,12.4,,,96,67.1,67.5,39,13.2,8.4,7.5,1.8,31,20.71,20,9,52,10,101.94,101.74,101.75,101.55,99.85,99.65,99.66,99.47,24100,22500,16100,8100,,,,,2.8,0,10.2,8.2,5.2,1.3,1.3,0,,06:05:00,1746439500,6.08,20:24:00,1746491040,20.4,14.32,5,7,16,16,11,12,,,,,,8,7.6,6.5,5,,,,
2025-05-04,14.7,10.61,9.8,4.9,,,78,61.8,61,44,5.3,3.3,3.4,1.4,21,14.25,14.5,8,34,10,101.66,101.55,101.55,101.43,99.57,99.44,99.45,99.33,24100,24100,24100,24100,,,,,8.2,0,4.8,2.8,0,0,0,0,,06:06:00,1746353160,6.1,20:23:00,1746404580,20.38,14.28,7,8,15,15,10,11,,,,,,8,6.7,5,2,,,,
2025-05-03,11,8.24,8.05,5.1,,,88,76,78.5,69,5.4,4.2,3.7,2,21,12.29,10.5,0,,,101.54,101.45,101.44,101.34,99.44,99.36,99.35,99.26,24100,24100,24100,24100,,,,,9.9,0,3,1.1,0,0.2,0.2,0,,06:08:00,1746266880,6.13,20:22:00,1746318120,20.37,14.23,5,5,13,13,7,7,,,,,,8,7.7,7.5,7,,,,
2025-05-02,20.3,13.51,13.85,7.4,,,98,74.8,74.5,51,12.2,8.8,8.2,4.2,36,20.75,19.5,3,62,26,101.32,100.81,100.91,100.5,99.24,98.73,98.83,98.42,24100,19204.2,12150,200,,,,,4.2,0,8.8,6.8,3.8,0,0,0,,06:09:00,1746180540,6.15,20:21:00,1746231660,20.35,14.2,7,7,18,19,6,7,,,,,,8,6.2,5,2,,,,
2025-05-01,10.3,8.24,7.75,5.2,,,95,69,71.5,48,8.8,2.6,3.4,-2.1,22,12.42,13.5,5,37,12,102.05,101.46,101.37,100.68,99.94,99.35,99.26,98.59,24100,20700,16900,9700,,,,,10.2,0,2.8,0.8,0,11.6,11.6,0,,06:10:00,1746094200,6.17,20:20:00,1746145200,20.33,14.17,3,7,13,13,11,11,,,,,,8,7.4,6.5,5,,,,
2025-04-30,12.8,6.73,7.4,2,,,73,60.8,61,49,1.9,-0.5,-0.2,-2.4,34,14.54,17,0,39,33,102.34,102.12,101.99,101.65,100.2,100,99.88,99.57,24100,24100,24100,24100,,,,,10.6,0,2.4,0.4,0,0,0,0,,06:12:00,1746007920,6.2,20:19:00,1746058740,20.32,14.12,7,8,12,12,2,7,,,,,,8,5.1,4,0,,,,
2025-04-29,27.2,16.39,15.95,4.7,31,,88,58.1,66.5,45,16.6,8,8.5,0.4,53,30.17,26.5,0,103,28,101.58,100.99,100.97,100.35,99.5,98.93,98.9,98.3,24100,23633.3,18500,12900,,,,,2,0,10.9,8.9,6,4.8,4.8,0,,06:13:00,1745921580,6.22,20:17:00,1745972220,20.28,14.07,7,8,24,24,1,2,,,,,,8,4.7,4,0,,,,
